Name,Pace,OffensiveRating,TrueShooting%,TotalRebound%,Steal%,Turnover%,OppTrueShooting%
PRESBYTERIAN,66.7,107.2,.554,52.9,8.5,16.6,.540
PRINCETON,64.7,105.1,.541,49.8,7.3,14.8,.550
PROVIDENCE,72.2,115.3,.586,52.2,7.3,14.6,.549
PURDUE,65.9,124.4,.603,55.5,8.5,11.8,.550
PURDUE-FORT-WAYNE,70.2,111.2,.570,45.2,12.2,12.7,.575
QUEENS-NC,71.0,118.7,.599,48.9,8.3,13.1,.572
QUINNIPIAC,70.0,106.8,.520,51.2,11.2,13.1,.521
RADFORD,72.3,110.9,.561,49.3,10.7,14.7,.558
RHODE-ISLAND,66.2,105.1,.541,49.2,13.0,16.4,.548
RICE,67.2,108.3,.527,50.9,9.8,14.8,.540
RICHMOND,68.8,111.5,.567,47.9,10.3,12.7,.547
RIDER,65.9,96.3,.471,48.8,9.2,14.3,.570
ROBERT-MORRIS,66.4,114.5,.569,55.2,8.5,15.6,.544
RUTGERS,66.5,105.3,.520,47.6,9.1,12.9,.565
SACRAMENTO-STATE,72.9,106.1,.536,46.3,10.4,12.6,.566
SACRED-HEART,68.4,109.6,.562,49.7,8.3,15.3,.555
SAINT-FRANCIS-PA,70.3,101.2,.525,47.3,10.5,16.0,.594
SAINT-JOSEPHS,68.7,106.9,.536,51.9,8.0,14.7,.497
SAINT-LOUIS,72.1,121.8,.627,55.6,10.1,15.0,.487
SAINT-MARYS-CA,66.5,117.6,.578,58.1,8.5,13.8,.494
SAINT-PETERS,65.9,106.6,.517,50.8,13.5,14.5,.533
SAM-HOUSTON,71.1,116.7,.570,54.6,9.8,13.9,.526
SAMFORD,68.7,113.5,.568,50.6,6.6,11.7,.542
SAN-DIEGO,69.3,106.2,.551,47.0,11.2,15.6,.573
SAN-DIEGO-STATE,69.7,111.6,.575,50.9,10.9,14.8,.529
SAN-FRANCISCO,67.1,110.4,.553,51.8,7.9,13.9,.538
SAN-JOSE-STATE,65.8,108.2,.539,46.5,8.7,13.2,.602
SANTA-CLARA,69.7,118.9,.570,51.8,12.8,13.0,.553
SEATTLE,69.0,103.7,.536,47.9,11.5,14.8,.517
SETON-HALL,66.4,106.0,.519,51.8,14.0,14.2,.518
SIENA,64.3,109.3,.548,52.1,9.0,13.8,.518
SOUTH-ALABAMA,66.2,110.5,.556,49.1,12.0,11.5,.521
SOUTH-CAROLINA,68.1,108.8,.551,47.3,8.1,12.7,.544
SOUTH-CAROLINA-STATE,69.9,95.3,.504,47.0,10.0,18.1,.578
SOUTH-CAROLINA-UPSTATE,70.0,104.5,.530,49.8,9.4,15.1,.529
SOUTH-DAKOTA,71.3,110.0,.557,50.0,8.6,14.2,.570
SOUTH-DAKOTA-STATE,67.9,110.6,.555,53.5,8.4,14.0,.547
SOUTH-FLORIDA,73.4,117.9,.558,53.2,12.1,12.4,.524
SOUTHEAST-MISSOURI-STATE,70.5,105.3,.540,50.9,9.6,14.6,.530
SOUTHEASTERN-LOUISIANA,65.8,98.4,.510,48.1,10.5,16.3,.559
SOUTHERN,72.9,108.6,.546,50.0,12.9,14.1,.563
SOUTHERN-CALIFORNIA,71.0,108.9,.552,51.5,8.9,14.9,.542
SOUTHERN-ILLINOIS,69.8,103.4,.522,52.2,11.4,14.7,.516
SIU-EDWARDSVILLE,66.5,105.9,.534,51.2,11.3,15.0,.492
